field,non_null_ratio
authors,1.0000
average_rating,0.2474
best_category,1.0000
categories,1.0000
category_avg_min,0.8252
category_avg_prob,0.8247
completion_prob,0.8252
curator_note,0.0026
description,0.9515
expected_min,0.8252
formats,0.9661
image_url,1.0000
millie_label,0.8252
pub_date,0.9895
publisher,1.0000
review_count,0.9959
seg_dist,0.7816
shelf_count,1.0000
subtitle,0.6559
title,1.0000
top_segment,0.7816
_n_records,9447
_category_distinct,104
_categories_ge_20,26
_n_skipped_empty,129
_n_skipped_titleless,4
_n_success,9580
_n_badge_title,0
