category,n_subcats,n_listed_ids,n_in_catalog,n_catalog_books,share_books_with_subcat
IT,6,554,60,105,0.5143
경제경영,14,1400,286,511,0.4286
과학,8,779,139,198,0.5606
도슨트북,6,117,47,47,1.0
디즈니,18,461,60,60,1.0
라이프스타일,16,1435,213,383,0.4648
만화,4,358,76,30,0.3
매거진,12,1200,55,87,0.6092
미분류,0,0,0,18,0.0
밀리 오리지널,10,375,132,177,0.4576
부모,4,356,55,147,0.3537
빨간펜 동화,3,128,25,34,0.7353
사회,14,1343,137,171,0.6316
세계문학전집,28,1500,521,51,0.5686
소설,20,1720,634,1719,0.3351
어린이,23,1944,125,472,0.2076
에세이/시,20,1932,431,714,0.4832
여행,14,987,122,144,0.6667
역사,6,600,139,245,0.3918
오디오북,19,1888,538,1709,0.3645
오브제북,3,33,12,12,1.0
외국어,9,900,103,115,0.7739
웹툰/웹소설,4,248,27,184,0.1467
인문,17,1633,332,632,0.413
자기계발,21,1971,397,587,0.494
종교,7,700,76,114,0.5614
챗북,12,804,245,377,0.6764
철학,5,411,140,202,0.5248
청소년,5,442,73,202,0.302
ALL,328,26219,5200,9447,0.4261
